<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
MOEX.SBER:SMAL,60,02/06/22,14:00:00,119.1100000,119.9900000,118.8700000,118.8700000,13
MOEX.SBER:SMAL,60,02/06/22,15:00:00,119.3500000,119.3500000,119.3500000,119.3500000,1
MOEX.SBER:SMAL,60,03/06/22,11:00:00,120.0000000,123.9700000,119.5000000,119.5000000,3
MOEX.SBER:SMAL,60,03/06/22,12:00:00,122.9200000,122.9200000,116.7800000,116.7800000,5
MOEX.SBER:SMAL,60,03/06/22,13:00:00,117.9700000,117.9700000,117.9700000,117.9700000,1
MOEX.SBER:SMAL,60,03/06/22,14:00:00,118.1000000,118.1000000,118.1000000,118.1000000,1
MOEX.SBER:SMAL,60,03/06/22,15:00:00,117.0100000,118.1400000,117.0100000,118.1400000,4
MOEX.SBER:SMAL,60,03/06/22,17:00:00,118.1400000,118.1400000,118.1400000,118.1400000,9
MOEX.SBER:SMAL,60,03/06/22,19:00:00,118.1400000,118.6100000,118.1400000,118.6100000,8
MOEX.SBER:SMAL,60,06/06/22,11:00:00,123.9400000,123.9400000,117.3200000,117.3200000,3
MOEX.SBER:SMAL,60,06/06/22,15:00:00,120.4500000,120.4500000,118.7000000,118.7000000,14
MOEX.SBER:SMAL,60,06/06/22,17:00:00,118.0600000,118.0600000,118.0600000,118.0600000,3
MOEX.SBER:SMAL,60,07/06/22,11:00:00,120.4900000,120.4900000,120.4900000,120.4900000,2
MOEX.SBER:SMAL,60,07/06/22,13:00:00,118.0000000,118.0000000,118.0000000,118.0000000,2
MOEX.SBER:SMAL,60,07/06/22,14:00:00,118.0000000,118.0000000,117.5600000,117.5600000,2
MOEX.SBER:SMAL,60,07/06/22,18:00:00,120.4900000,120.4900000,120.4900000,120.4900000,1
MOEX.SBER:SMAL,60,07/06/22,19:00:00,120.4900000,120.4900000,120.4900000,120.4900000,1
MOEX.SBER:SMAL,60,08/06/22,11:00:00,117.9600000,117.9600000,117.9600000,117.9600000,5
MOEX.SBER:SMAL,60,08/06/22,12:00:00,120.5000000,121.5900000,120.5000000,121.5900000,7
MOEX.SBER:SMAL,60,08/06/22,13:00:00,120.9900000,120.9900000,120.9900000,120.9900000,4
MOEX.SBER:SMAL,60,08/06/22,15:00:00,123.9500000,123.9600000,120.4000000,120.4000000,6
MOEX.SBER:SMAL,60,08/06/22,17:00:00,120.8700000,120.8700000,120.8700000,120.8700000,6
MOEX.SBER:SMAL,60,08/06/22,18:00:00,121.9800000,121.9800000,121.9800000,121.9800000,1
MOEX.SBER:SMAL,60,09/06/22,11:00:00,119.0000000,119.0000000,119.0000000,119.0000000,1
MOEX.SBER:SMAL,60,09/06/22,13:00:00,117.4200000,117.4200000,117.4200000,117.4200000,1
MOEX.SBER:SMAL,60,10/06/22,11:00:00,118.6000000,118.6000000,118.6000000,118.6000000,1
MOEX.SBER:SMAL,60,10/06/22,12:00:00,117.7100000,117.7100000,117.7100000,117.7100000,8
MOEX.SBER:SMAL,60,10/06/22,13:00:00,118.9900000,118.9900000,118.9900000,118.9900000,1
MOEX.SBER:SMAL,60,10/06/22,15:00:00,117.5200000,117.5200000,117.5200000,117.5200000,2
MOEX.SBER:SMAL,60,10/06/22,17:00:00,118.3000000,118.3000000,118.2000000,118.2000000,2
MOEX.SBER:SMAL,60,14/06/22,11:00:00,117.0100000,117.0100000,117.0100000,117.0100000,1
MOEX.SBER:SMAL,60,14/06/22,12:00:00,118.5000000,119.0000000,118.5000000,119.0000000,10
MOEX.SBER:SMAL,60,14/06/22,13:00:00,119.5000000,119.5000000,119.5000000,119.5000000,2
MOEX.SBER:SMAL,60,14/06/22,15:00:00,119.0000000,119.0000000,119.0000000,119.0000000,1
MOEX.SBER:SMAL,60,14/06/22,16:00:00,118.5200000,119.9900000,117.9900000,119.9900000,4
MOEX.SBER:SMAL,60,14/06/22,17:00:00,118.2600000,118.2600000,118.2600000,118.2600000,1
MOEX.SBER:SMAL,60,15/06/22,12:00:00,122.9600000,122.9600000,122.9600000,122.9600000,1
MOEX.SBER:SMAL,60,15/06/22,13:00:00,120.1500000,120.1500000,120.1500000,120.1500000,1
MOEX.SBER:SMAL,60,15/06/22,14:00:00,120.1500000,120.1500000,120.1500000,120.1500000,3
MOEX.SBER:SMAL,60,15/06/22,16:00:00,120.1500000,120.1500000,120.1500000,120.1500000,1
MOEX.SBER:SMAL,60,16/06/22,11:00:00,122.2500000,124.8900000,122.2500000,124.8900000,3
MOEX.SBER:SMAL,60,16/06/22,12:00:00,122.9000000,122.9000000,122.5900000,122.5900000,4
MOEX.SBER:SMAL,60,16/06/22,14:00:00,121.5100000,121.5100000,121.5100000,121.5100000,2
MOEX.SBER:SMAL,60,16/06/22,15:00:00,122.0000000,122.0000000,122.0000000,122.0000000,4
MOEX.SBER:SMAL,60,16/06/22,16:00:00,122.8000000,123.1900000,122.8000000,123.0000000,4
MOEX.SBER:SMAL,60,16/06/22,19:00:00,123.5800000,123.5800000,123.5800000,123.5800000,5
MOEX.SBER:SMAL,60,17/06/22,12:00:00,124.0000000,124.0000000,123.0000000,124.0000000,4
